start_date	fips	start_deaths	end_date	end_deaths	deaths	preventable_est
2021-04-15	08117	7.0	2022-09-25	15.0	8	5
2021-04-15	08119	14.0	2022-09-25	60.0	46	30
2021-04-15	08121	12.0	2022-09-25	31.0	19	13
2021-04-15	08123	329.0	2022-09-25	735.0	406	268
2021-04-15	08125	17.0	2022-09-25	27.0	10	7
2021-04-15	09001	2141.0	2022-09-25	2809.0	668	442
2021-04-15	09003	2368.0	2022-09-25	3270.0	902	596
2021-04-15	09005	288.0	2022-09-25	480.0	192	127
2021-04-15	09007	357.0	2022-09-25	496.0	139	92
2021-04-15	09009	2030.0	2022-09-25	2950.0	920	608
2021-04-15	09011	426.0	2022-09-25	718.0	292	193
2021-04-15	09013	179.0	2022-09-25	296.0	117	77
2021-04-15	09015	189.0	2022-09-25	318.0	129	85
2021-04-15	10001	328.0	2022-09-25	693.0	365	241
2021-04-15	10003	796.0	2022-09-25	1504.0	708	468
2021-04-15	10005	471.0	2022-09-25	904.0	433	286
2021-04-15	11001	1090.0	2022-09-25	1383.0	293	194
2021-04-15	12001	262.0	2022-09-25	743.0	481	318
2021-04-15	12003	60.0	2022-09-25	148.0	88	58
2021-04-15	12005	377.0	2022-09-25	856.0	479	317
2021-04-15	12007	55.0	2022-09-25	168.0	113	75
2021-04-15	12009	837.0	2022-09-25	2340.0	1503	994
2021-04-15	12011	2741.0	2022-09-25	6356.0	3615	2390
2021-04-15	12013	43.0	2022-09-25	103.0	60	40
2021-04-15	12015	400.0	2022-09-25	901.0	501	331
2021-04-15	12017	433.0	2022-09-25	1059.0	626	414
2021-04-15	12019	331.0	2022-09-25	915.0	584	386
2021-04-15	12021	507.0	2022-09-25	1096.0	589	389
2021-04-15	12023	165.0	2022-09-25	435.0	270	178
2021-04-15	12027	88.0	2022-09-25	160.0	72	48
2021-04-15	12029	23.0	2022-09-25	80.0	57	38
2021-04-15	12031	1341.0	2022-09-25	3658.0	2317	1532
2021-04-15	12033	674.0	2022-09-25	1412.0	738	488
2021-04-15	12035	105.0	2022-09-25	393.0	288	190
2021-04-15	12037	17.0	2022-09-25	55.0	38	25
2021-04-15	12039	92.0	2022-09-25	228.0	136	90
2021-04-15	12041	41.0	2022-09-25	106.0	65	43
2021-04-15	12043	19.0	2022-09-25	37.0	18	12
2021-04-15	12045	42.0	2022-09-25	85.0	43	28
2021-04-15	12047	24.0	2022-09-25	56.0	32	21
2021-04-15	12049	42.0	2022-09-25	133.0	91	60
2021-04-15	12051	78.0	2022-09-25	164.0	86	57
2021-04-15	12053	447.0	2022-09-25	1207.0	760	502
